               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.040059,            0.012612,           0.0018714,             0.83633,                 0.6,             0.69291,             0.39114,            0.040304,            0.010152,           0.0020221,            0.009307,            0.009307,            0.009307
                  72,            0.034039,            0.013324,           0.0026989,             0.69754,             0.60545,             0.63559,             0.31465,            0.040975,            0.010147,           0.0028828,           0.0092971,           0.0092971,           0.0092971
                  73,            0.034135,            0.014546,           0.0017969,             0.85253,             0.45381,             0.57951,              0.3225,            0.047743,            0.012203,            0.010098,           0.0092872,           0.0092872,           0.0092872
                  74,            0.032628,            0.012869,           0.0020439,             0.70173,             0.45833,             0.47108,             0.27082,            0.046511,            0.012594,            0.009798,           0.0092773,           0.0092773,           0.0092773
                  75,            0.034858,            0.012625,            0.002471,             0.74252,             0.55338,             0.61361,             0.36724,            0.033734,            0.011361,           0.0042262,           0.0092674,           0.0092674,           0.0092674
                  76,            0.038992,             0.01416,           0.0023959,              0.7233,             0.52215,             0.63131,             0.34089,            0.035876,           0.0096555,            0.001559,           0.0092575,           0.0092575,           0.0092575
                  77,            0.035475,            0.012918,           0.0012927,             0.77519,             0.62395,             0.71159,             0.32259,            0.031979,           0.0096815,            0.001395,           0.0092476,           0.0092476,           0.0092476
                  78,            0.037279,            0.014169,           0.0013306,             0.71387,             0.63308,             0.68338,             0.30936,            0.034172,            0.010025,           0.0013757,           0.0092377,           0.0092377,           0.0092377
                  79,            0.038406,            0.015081,           0.0020205,             0.64991,               0.675,             0.71347,             0.28311,            0.032888,             0.01109,           0.0013686,           0.0092278,           0.0092278,           0.0092278
                  80,            0.034607,            0.011918,           0.0030096,             0.67956,             0.58534,             0.58452,             0.20995,            0.033746,            0.011694,           0.0016705,           0.0092179,           0.0092179,           0.0092179
                  81,            0.033247,            0.012637,           0.0031904,             0.52838,             0.50246,             0.49486,             0.16625,            0.036394,            0.011739,           0.0014531,            0.009208,            0.009208,            0.009208
                  82,            0.038645,            0.013689,           0.0014925,             0.61614,             0.64167,             0.57001,             0.23969,            0.034312,            0.011574,           0.0012628,           0.0091981,           0.0091981,           0.0091981
                  83,            0.038277,            0.012588,           0.0030043,             0.53857,             0.49842,             0.47142,              0.1995,            0.039779,            0.012279,           0.0012266,           0.0091882,           0.0091882,           0.0091882
                  84,            0.035017,            0.014509,           0.0012326,             0.61429,             0.67155,             0.52344,             0.20661,            0.038275,            0.010978,           0.0014715,           0.0091783,           0.0091783,           0.0091783
                  85,            0.031657,            0.012528,           0.0027007,             0.79643,               0.725,             0.74073,              0.3478,            0.039251,           0.0097818,           0.0020296,           0.0091684,           0.0091684,           0.0091684
                  86,            0.031821,            0.013585,           0.0017564,              0.7808,             0.73991,             0.76531,             0.29564,            0.041704,           0.0092971,           0.0024764,           0.0091585,           0.0091585,           0.0091585
                  87,            0.033691,            0.012392,           0.0013243,             0.78471,             0.65167,             0.76232,             0.29726,            0.039365,            0.010257,           0.0018714,           0.0091486,           0.0091486,           0.0091486
                  88,            0.035256,            0.012518,           0.0034604,             0.60663,             0.68338,             0.64596,             0.26828,            0.040879,            0.011111,           0.0034743,           0.0091387,           0.0091387,           0.0091387
                  89,            0.041472,             0.01396,           0.0024803,             0.83483,              0.6644,             0.75111,             0.35681,            0.036606,            0.010935,           0.0041188,           0.0091288,           0.0091288,           0.0091288
                  90,            0.037208,            0.013768,           0.0013852,             0.75078,               0.675,              0.6923,             0.32017,             0.03795,            0.010227,           0.0032644,           0.0091189,           0.0091189,           0.0091189
                  91,            0.032145,            0.014868,           0.0014277,              0.8454,             0.67573,             0.75164,             0.37268,            0.034182,            0.009531,           0.0026288,            0.009109,            0.009109,            0.009109
                  92,            0.037139,            0.014001,           0.0043117,             0.75326,             0.73333,             0.78187,             0.37974,            0.041171,           0.0089083,           0.0041628,           0.0090991,           0.0090991,           0.0090991
                  93,            0.029605,            0.011846,           0.0015064,             0.84682,             0.62187,             0.75887,             0.38997,             0.03769,           0.0087087,           0.0036379,           0.0090892,           0.0090892,           0.0090892
                  94,             0.03679,             0.01388,            0.001596,             0.67182,             0.71242,             0.71872,             0.35434,            0.036351,           0.0095477,           0.0038161,           0.0090793,           0.0090793,           0.0090793
                  95,            0.033453,            0.014915,           0.0039085,             0.85973,             0.80819,             0.81584,             0.36201,            0.039108,           0.0094302,           0.0019901,           0.0090694,           0.0090694,           0.0090694
